folder_name,pdf_file_size_kb,md_file_size_kb,md_line_count,md_character_count,jpeg_count_in_images_folder
document_417,1899.208984375,29.2822265625,680,29983,8
document_428,361.1728515625,13.12890625,142,13444,1
document_1154,339.6142578125,5.4140625,136,5544,1
document_613,1777.369140625,11.27734375,334,11545,1
document_421,306.8564453125,36.93359375,202,37820,1
document_283,708.0380859375,5.6796875,210,5803,3
document_248,823.5712890625,34.935546875,237,35761,3
document_846,486.7734375,9.8154296875,247,10051,4
document_284,480.18359375,11.0693359375,259,11266,4
document_270,412.10546875,4.4765625,122,4584,1
document_426,690.21484375,35.806640625,256,36665,1
document_614,1076.5908203125,5.51171875,114,5644,3
document_1165,1589.24609375,35.228515625,1594,36061,5
document_841,232.5498046875,7.306640625,186,7478,4
document_822,800.3369140625,6.2265625,224,6371,4
document_648,1729.2763671875,11.1572265625,249,11418,7
document_1106,515.1630859375,7.83203125,197,8016,5
document_445,658.521484375,42.6943359375,164,43719,0
document_677,493.7998046875,6.9326171875,222,7086,4
document_683,490.1650390625,7.880859375,272,8057,3
document_1101,541.7451171875,8.462890625,219,8662,6
document_825,345.69921875,28.166015625,132,28841,1
document_684,11317.3759765625,34.908203125,249,35746,3
document_214,143.9560546875,62.75,445,64256,2
document_442,913.5888671875,9.8603515625,246,10067,3
document_1137,1277.3759765625,3.0859375,99,3160,0
document_813,70.5107421875,3.177734375,128,3241,0
document_679,492.8369140625,6.642578125,208,6789,3
document_1108,566.0830078125,43.96484375,345,45020,0
document_480,499.1474609375,10.26171875,406,10495,4
document_646,1729.2763671875,11.5537109375,274,11823,7
document_222,155.740234375,9.22265625,64,9444,1
document_814,383.171875,7.583984375,134,7764,3
document_1130,1398.5341796875,6.505859375,183,6662,2
document_225,520.404296875,35.078125,132,35920,0
document_641,41.572265625,1.68359375,31,1724,0
document_487,1376.904296875,6.072265625,67,6218,1
document_271,756.4892578125,8.0,272,8178,5
document_615,3772.134765625,11.921875,359,12148,5
document_427,552.06640625,5.609375,170,5742,1
document_285,672.896484375,5.2060546875,181,5331,2
document_418,656.9296875,11.4189453125,242,11691,6
document_840,232.5498046875,7.5166015625,193,7693,4
document_1164,372.9013671875,29.0576171875,119,29755,0
document_282,834.53515625,6.0546875,263,6187,4
document_420,5325.2919921875,11.5390625,349,11816,6
document_612,6281.802734375,67.837890625,1286,69448,13
document_276,629.3486328125,5.5673828125,202,5688,3
document_1163,1250.7216796875,35.53125,236,36384,2
document_847,486.7734375,9.88671875,237,10124,4
document_249,1890.8662109375,18.642578125,524,19090,1
document_416,944.623046875,31.40625,807,32160,8
document_1155,339.6142578125,5.5087890625,136,5641,1
document_429,295.55078125,8.5712890625,185,8776,1
document_871,27.66015625,1.0244140625,11,1049,0
document_849,486.7734375,9.9140625,247,10152,4
document_247,605.7509765625,6.40234375,217,6543,4
document_278,599.83984375,6.0068359375,187,6138,2
document_882,27.546875,3.2783203125,110,3357,0
document_854,800.3369140625,4.185546875,173,4282,4
document_265,657.0498046875,16.330078125,183,16709,1
document_433,913.5888671875,9.9833984375,244,10196,3
document_601,351.451171875,52.6728515625,213,53937,0
document_291,718.490234375,8.1474609375,233,8330,4
document_853,1129.8828125,6.8115234375,169,6971,2
document_639,41.572265625,1.68359375,31,1724,0
document_898,28.013671875,3.0,100,3072,0
document_1148,1282.396484375,5.88671875,193,6028,2
document_296,716.2744140625,5.314453125,181,5429,3
document_434,1002.162109375,70.126953125,360,71809,3
document_262,829.0703125,6.8359375,288,6987,4
document_1141,1756.5498046875,5.7041015625,149,5841,0
document_254,645.8291015625,5.189453125,191,5301,3
document_630,350.9990234375,49.1806640625,255,50361,1
document_402,502.4130859375,21.28515625,507,21796,6
document_862,10610.9306640625,37.9990234375,357,38911,5
document_608,1238.73046875,7.1962890625,187,7364,1
document_896,27.4091796875,32.9990234375,60,33791,0
document_298,714.236328125,5.787109375,262,5914,4
document_405,12.9599609375,0.6328125,36,648,0
